Repository/Domain,Visibility,Description,Last Updated
api.vault.seedwave.faa.zone,Public,HTML,Updated 2 days ago
faa.zone,Public,FruitfulGlobalPlanet HTML,Updated 2 days ago
Muller.faa.zone,Public,HTML,Updated 4 days ago
seedwave_portal,Public,,Updated 2 weeks ago
trompie.faa.zone,Public,,Updated 2 weeks ago
Fruitful-Phyton-backend,Private,,Updated 3 weeks ago
seedwave,Public,Central admin portal and backend functions for FAA™ Global Ecosystem. HTML 1 Apache License 2.0,Updated 3 weeks ago
adele,Public,HTML,Updated 3 weeks ago
education-ip.seedwave.faa.zone,Public,HTML,Updated last month
hotstack,Public,,Updated on Jul 20
ai-logic.seedwave.faa.zone,Public,HTML,Updated on Jul 20
nutrition.seedwave.faa.zone,Public,HTML,Updated on Jul 19
fruitful,Public,Change the seed HTML Apache License 2.0,Updated on Jul 19
wildlife.seedwave.faa.zone,Public,HTML,Updated on Jul 19
legal,Public,All legal minutes and docs,Updated on Jul 19
vaultmesh,Public,Config files for GitHub,Updated on Jul 19
payroll,Public,HTML,Updated on Jul 19
toynest.seedwave.faa.zone,Public,HTML,Updated on Jul 18
fruitful.crate.dance.faa.zone,Public,HTML,Updated on Jul 18
lesotho.faa.zone,Public,HTML,Updated on Jul 17
noodle.juice,Public,HTML,Updated on Jul 17
logistics.seedwave.faa.zone,Public,HTML,Updated on Jul 17
payment,Public,HTML,Updated on Jul 16
justice.seedwave.faa.zone,Public,HTML,Updated on Jul 14
payroll-mining.seedwave.faa.zone,Public,HTML 1,Updated on Jul 11
samfox,Public,Queen of fox metrics styling HTML 1 Apache License 2.0,Updated on Jul 11
agriculture.seedwave.faa.zone,Public,HTML,Updated on Jul 11
baobab,Public,Conceptual FAA ecosystem platform,Updated on Jul 10
footer.global.repo,Public,HTML,Updated on Jul 10
interns.seedwave.faa.zone,Public,Central hub for interns HTML 1,Updated on Jul 9
shoshaloza,Public,HTML,Updated on Jul 5
omnigrid,Public,Universal Network of FAA.zone HTML,Updated on Jun 26
astrowind,Public template,AstroWind Template,Updated on Jun 9
faa-zone-admin-portal,Private,TypeScript,Updated on May 27
cloudflare-docs,Public,Forked Cloudflare Docs MDX,Updated on Apr 29
faa-vault-ui,Public,JavaScript,Updated on Apr 1
portfolio-responsive-complete,Public,Responsive HTML CSS,"Updated on Aug 20, 2024"
trade.seedwave.faa.zone,Public,HTML,Updated on Jul 5
careers,Public,HTML,Updated on Jul 5
mining.seedwave.faa.zone,Public,Sector web HTML,Updated on Jul 4
ritual.seedwave.faa.zone,Public,HTML,Updated on Jul 4
index.menu.seedwave.faa.zone,Public,HTML,Updated on Jul 4
housing.seedwave.faa.zone,Public,HTML,Updated on Jul 3
education-youth.seedwave.faa.zone,Public,HTML,Updated on Jul 1
